Frequency Merging-Normal Merging-Umklapp Splitting-Normal Splitting-Umklapp Total_DOS
0.0 0.4654219904231922 0.3700134565855227 0.0 0.0 0.8354354470087154
0.02002002002002002 0.6399273567352338 0.5107994857985338 0.0 0.0 1.150726842533767
0.04004004004004004 0.8646146593698227 0.6934378689194498 0.0 0.0 1.5580525282892732
0.06006006006006006 1.1480173354610368 0.9259106307518465 0.0 0.0 2.0739279662128847
0.08008008008008008 1.4980928020848845 1.216264949736384 0.0 0.0 2.71435775182127
0.10010010010010009 1.9214517059833809 1.5721455348670728 0.0 0.0 3.4935972408504568
0.12012012012012012 2.4224979592986386 2.000262276230397 0.0 0.0 4.422760235529035
0.14014014014014015 3.002556460054491 2.5058387444573107 0.0 0.0 5.508395204511796
0.16016016016016016 3.6590879650009183 3.0920990178273797 0.0 0.0 6.751186982828297
0.18018018018018017 4.385103420520946 3.759855250220282 0.0 0.0 8.14495867074122
0.20020020020020018 5.168888492636538 4.507253978883101 0.0 0.0 9.676142471519638
0.22022022022022023 5.994130092605655 5.329724545719187 0.0 0.0 11.323854638324843
0.24024024024024024 6.840500103640961 6.2201493687954725 0.0 0.0 13.060649472436438
0.2602602602602603 7.684700323442231 7.169246536740773 0.0 0.0 14.853946860182992
0.2802802802802803 8.501913158479425 8.16612544699047 0.0 0.0 16.6680386054699
0.3003003003003003 9.267543611989435 9.198951880406389 0.0 0.0 18.466495492395815
0.3203203203203203 9.95908934928367 10.25564531839932 0.0 0.0 20.214734667682983
0.34034034034034033 10.557945943519218 11.324531768122569 0.0 0.0 21.882477711641794
0.36036036036036034 11.050949864434504 12.394890075098537 0.0 0.0 23.445839939533027
0.38038038038038036 11.431484257740099 13.45735541226436 0.0 0.0 24.88883967000444
0.40040040040040037 11.700019242181334 14.50417415956186 0.0 0.0 26.204193401743222
0.42042042042042044 11.864022263074482 15.529332047378897 0.0 0.0 27.39335431045337
0.44044044044044045 11.93724512205726 16.52859502936175 0.0 0.0 28.465840151419
0.46046046046046046 11.938462014128712 17.49950517486588 0.0 0.0 29.43796718899464
0.4804804804804805 11.88978794826017 18.44136119850811 0.0 0.0 30.331149146768254
0.5005005005005005 11.814743035383938 19.355188759397176 0.0 0.0 31.16993179478107
0.5205205205205206 11.736242904473064 20.24367668653152 0.0 0.0 31.979919591004588
0.5405405405405406 11.67469031460273 21.111030926898188 0.0 0.0 32.78572124150094
0.5605605605605606 11.646322010627506 21.962686729934937 0.0 0.0 33.60900874056238
0.5805805805805806 11.661933484423882 22.80482684948343 0.0 0.0 34.46676033390739
0.6006006006006006 11.72606784721383 23.643680259044263 0.0 0.0 35.36974810625812
0.6206206206206206 11.836717526757505 24.484617964480552 0.0 0.0 36.3213354912381
0.6406406406406406 11.985551306785856 25.331111806319015 0.0 0.0 37.31666311310486
0.6606606606606606 12.158645170646293 26.18366833062001 0.0 0.0 38.342313501266226
0.6806806806806807 12.337663548426335 27.038882696174046 0.0 0.0 39.37654624460034
0.7007007007007007 12.501407993396036 27.888769344158998 0.0 0.0 40.39017733755489
0.7207207207207207 12.627623827001157 28.720512795734166 0.0 0.0 41.34813662273535
0.7407407407407407 12.694933634441101 29.516743881398504 0.0 0.0 42.2116775158397
0.7607607607607607 12.684752122786874 30.256388431958896 0.0 0.0 42.94114055474582
0.7807807807807807 12.583032346341335 30.916064558837256 0.0 0.0 43.499096905178604
0.8008008008008007 12.381700610868235 31.471930532778803 0.0 0.0 43.8536311436472
0.8208208208208209 12.07965718017791 31.90181790292848 0.0 0.0 43.98147508310656
0.8408408408408409 11.683251321318826 32.187433283021136 0.0 0.0 43.87068460434005
0.8608608608608609 11.206179791333607 32.31638502824972 0.0 0.0 43.52256481958303
0.8808808808808809 10.668803995868466 32.28379327167834 0.0 0.0 42.952597267546864
0.9009009009009009 10.096928600385917 32.09327567175187 0.0 0.0 42.19020427213768
0.9209209209209209 9.520129292332774 31.757165001949648 0.0 0.0 41.27729429428264
0.9409409409409409 8.969756187557827 31.295902381304 0.0 0.0 40.26565856886166
0.960960960960961 8.476769367938486 30.73665147553225 0.0 0.0 39.2134208434707
0.980980980980981 8.069582357727752 30.111281368706518 0.0 0.0 38.180863726434325
1.001001001001001 7.772096748707334 29.453954758340792 0.0 0.0 37.22605150704837
1.021021021021021 7.602105823972682 28.798620437526292 0.0 0.0 36.40072626149897
1.0410410410410411 7.570226326989763 28.176734807683378 0.0 0.0 35.74696113467326
1.0610610610610611 7.67948522060283 27.61552167837895 0.0 0.0 35.29500689898178
1.0810810810810811 7.925642733036922 27.13702415667785 0.0 0.0 35.06266688971478
1.1011011011011012 8.298275607105593 26.758114083850376 0.0 0.0 35.05638969095589
1.1211211211211212 8.782578201195225 26.491514771249822 0.0 0.0 35.27409297244512
1.1411411411411412 9.36176872485459 26.34777566224734 0.0 0.0 35.70954438710197
1.1611611611611612 10.019920014968083 26.338027091052528 0.0 0.0 36.35794710602048
1.1811811811811812 10.744976736321094 26.477251740615564 0.0 0.0 37.222228476936586
1.2012012012012012 11.531681862051126 26.78774564552523 0.0 0.0 38.319427507576385
1.2212212212212212 12.384121802433123 27.302410566485296 0.0 0.0 39.68653236891836
1.2412412412412412 13.317616086613056 28.067522147584935 0.0 0.0 41.385138234198045
1.2612612612612613 14.359724723869089 29.144651676475537 0.0 0.0 43.50437640034449
1.2812812812812813 15.550220419270055 30.61147776413688 0.0 0.0 46.16169818340694
1.3013013013013013 16.939965411626176 32.561300005275406 0.0 0.0 49.50126541690134
